provider_code,provider_name,category,game_symbol,game_name,localized_title,game_image,launch_enable,under_maintenance
1,Pragmatic Play,Slot,vs10firestrike2,Fire Strike 2,Fire Strike 2,https://bo-prd-v2.meganodes.net/img/games/p1/vs10firestrike2.jpg,True,False
1,Pragmatic Play,Slot,vs10bookazteck,Book of Aztec King,Book of Aztec King,https://bo-prd-v2.meganodes.net/img/games/p1/vs10bookazteck.jpg,True,False
1,Pragmatic Play,Slot,vs25bullfiesta,Bull Fiesta,Bull Fiesta,https://bo-prd-v2.meganodes.net/img/games/p1/vs25bullfiesta.jpg,True,False
1,Pragmatic Play,Slot,vs25bkofkngdm,Book Of Kingdoms,Book Of Kingdoms,https://bo-prd-v2.meganodes.net/img/games/p1/vs25bkofkngdm.jpg,True,False
1,Pragmatic Play,Slot,vs7pigs,7 Piggies,7 Piggies,https://bo-prd-v2.meganodes.net/img/games/p1/vs7pigs.jpg,True,False
1,Pragmatic Play,Slot,vs7776secrets,Aztec Treasure,Aztec Treasure,https://bo-prd-v2.meganodes.net/img/games/p1/vs7776secrets.jpg,True,False
1,Pragmatic Play,Slot,vs10egypt,Ancient Egypt,Ancient Egypt,https://bo-prd-v2.meganodes.net/img/games/p1/vs10egypt.jpg,True,False
1,Pragmatic Play,Slot,vs25aztecking,Aztec King,Aztec King,https://bo-prd-v2.meganodes.net/img/games/p1/vs25aztecking.jpg,True,False
1,Pragmatic Play,Slot,vs5drmystery,Dragon Kingdom - Eyes of Fire,Dragon Kingdom - Eyes of Fire,https://bo-prd-v2.meganodes.net/img/games/p1/vs5drmystery.jpg,True,False
1,Pragmatic Play,Slot,vs20bl,Busy Bees,Busy Bees,https://bo-prd-v2.meganodes.net/img/games/p1/vs20bl.jpg,True,False
1,Pragmatic Play,Slot,vs10bookfallen,Book of Fallen,Book of Fallen,https://bo-prd-v2.meganodes.net/img/games/p1/vs10bookfallen.jpg,True,False
1,Pragmatic Play,Slot,vs8magicjourn,Magic Journey,Magic Journey,https://bo-prd-v2.meganodes.net/img/games/p1/vs8magicjourn.jpg,True,False
1,Pragmatic Play,Slot,vs10vampwolf,Vampires vs Wolves,Vampires vs Wolves,https://bo-prd-v2.meganodes.net/img/games/p1/vs10vampwolf.jpg,True,False
1,Pragmatic Play,Slot,vs50kingkong,Mighty Kong,Mighty Kong,https://bo-prd-v2.meganodes.net/img/games/p1/vs50kingkong.jpg,True,False
1,Pragmatic Play,Slot,vs10chkchase,Chicken Chase™,Chicken Chase™,https://bo-prd-v2.meganodes.net/img/games/p1/vs10chkchase.jpg,True,False
1,Pragmatic Play,Slot,vs40frrainbow,Fruit Rainbow,Fruit Rainbow,https://bo-prd-v2.meganodes.net/img/games/p1/vs40frrainbow.jpg,True,False
1,Pragmatic Play,Slot,vs7monkeys,7 Monkeys,7 Monkeys,https://bo-prd-v2.meganodes.net/img/games/p1/vs7monkeys.jpg,True,False
1,Pragmatic Play,Slot,vs25gladiator,Wild Gladiator,Wild Gladiator,https://bo-prd-v2.meganodes.net/img/games/p1/vs25gladiator.jpg,True,False
1,Pragmatic Play,Slot,vs20aladdinsorc,Aladdin and the Sorcerer,Aladdin and the Sorcerer,https://bo-prd-v2.meganodes.net/img/games/p1/vs20aladdinsorc.jpg,True,False
1,Pragmatic Play,Slot,vs50aladdin,3 Genie Wishes,3 Genie Wishes,https://bo-prd-v2.meganodes.net/img/games/p1/vs50aladdin.jpg,True,False
1,Pragmatic Play,Slot,vs25walker,Wild Walker,Wild Walker,https://bo-prd-v2.meganodes.net/img/games/p1/vs25walker.jpg,True,False
1,Pragmatic Play,Slot,vs4096mystery,Mysterious,Mysterious,https://bo-prd-v2.meganodes.net/img/games/p1/vs4096mystery.jpg,True,False
1,Pragmatic Play,Slot,vs40streetracer,Street Racer,Street Racer,https://bo-prd-v2.meganodes.net/img/games/p1/vs40streetracer.jpg,True,False
1,Pragmatic Play,Slot,vs3train,Gold Train,Gold Train,https://bo-prd-v2.meganodes.net/img/games/p1/vs3train.jpg,True,False
1,Pragmatic Play,Slot,vs25sea,Great Reef,Great Reef,https://bo-prd-v2.meganodes.net/img/games/p1/vs25sea.jpg,True,False
